"","species","SpecCode","Order","Family","DemersPelag","DepthRangeDeep","BodyShapeI","Lmax","EnvTemp","TL","K","tm","Habitat","Pelagic"
"1","Ctenopharyngodon idella",79,"Cypriniformes","Cyprinidae","demersal",30,"fusiform",150,"tropical",2,0.16,3.8,"Freshwater",0
"2","Abramis brama",268,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",82,"temperate",3.05,0.17,3.9,"Freshwater",0
"3","Rutilus frisii",8416,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",70,"temperate",3.4,0.41,1.6,"Freshwater",0
"4","Prochilodus nigricans",11894,"Characiformes","Prochilodontidae","benthopelagic",NA,"fusiform",45,"tropical",2.38,0.4225,1.9,"Freshwater",0
"5","Plagioscion squamosissimus",4310,"Perciformes","Sciaenidae","benthopelagic",NA,"fusiform",80,"tropical",4.35,0.11,5.6,"Freshwater",0
"6","Pseudoplatystoma punctifer",68633,"Siluriformes","Pimelodidae","demersal",NA,"elongate",70,"tropical",4.33,0.17,7.5,"Freshwater",0
"7","Potamorhina altamazonica",25648,"Characiformes","Curimatidae","benthopelagic",NA,"fusiform",27,"tropical",2,0.396877216656436,1.92829469744829,"Freshwater",0
"8","Hypophthalmus edentatus",4533,"Siluriformes","Pimelodidae","pelagic",37,"elongate",57.5,"tropical",2.91,0.21,3.1,"Freshwater",1
"9","Calophysus macropterus",12115,"Siluriformes","Pimelodidae","demersal",NA,"elongate",40,"tropical",3.18,0.42,1.7,"Brackish",0
"10","Triportheus angulatus",12976,"Characiformes","Triportheidae","benthopelagic",5,"fusiform",23.8,"tropical",2.68,0.396877216656436,1.92829469744829,"Brackish",0
"11","Pseudoplatystoma tigrinum",8695,"Siluriformes","Pimelodidae","demersal",NA,"elongate",130,"tropical",4.4,0.2,3,"Brackish",0
"12","Potamorhina latior",25649,"Characiformes","Curimatidae","benthopelagic",NA,"fusiform",24,"tropical",2,0.396877216656436,1.92829469744829,"Freshwater",0
"13","Anodus elongatus",51222,"Characiformes","Hemiodontidae","pelagic",NA,"elongate",30.3,"tropical",3.4,0.396877216656436,1.92829469744829,"Freshwater",1
"14","Astronotus ocellatus",3612,"Perciformes","Cichlidae","benthopelagic",NA,"short_deep",45.7,"tropical",2.83,0.29,2.3,"Freshwater",0
"15","Psectrogaster rutiloides",25652,"Characiformes","Curimatidae","benthopelagic",NA,"fusiform",17.8,"tropical",2,0.396877216656436,1.92829469744829,"Freshwater",0
"16","Hoplias malabaricus",4757,"Characiformes","Erythrinidae","benthopelagic",NA,"elongate",65,"tropical",4.16,0.31,2.2,"Freshwater",0
"17","Colossoma macropomum",263,"Characiformes","Serrasalmidae","benthopelagic",NA,"short_deep",108,"tropical",2.02,0.23,2.6,"Freshwater",0
"18","Piaractus brachypomus",5808,"Characiformes","Serrasalmidae","pelagic",NA,"short_deep",88,"tropical",2.52,0.09,7.1,"Freshwater",1
"19","Mylossoma duriventre",12977,"Characiformes","Serrasalmidae","benthopelagic",NA,"short_deep",25,"tropical",2.84,0.75,1,"Freshwater",0
"20","Psectrogaster amazonica",25651,"Characiformes","Curimatidae","benthopelagic",NA,"short_deep",19,"tropical",2,0.396877216656436,1.92829469744829,"Freshwater",0
"21","Brycon cephalus",25516,"Characiformes","Bryconidae","benthopelagic",NA,"fusiform",45,"tropical",2,0.42,1.6,"Brackish",0
"22","Osteoglossum bicirrhosum",6234,"Osteoglossiformes","Osteoglossidae","benthopelagic",NA,"elongate",90,"tropical",3.39,0.249690743479721,2.76482791484309,"Brackish",0
"23","Brachyplatystoma rousseauxii",58421,"Siluriformes","Pimelodidae","demersal",NA,"elongate",192,"tropical",4.5,0.56,2.2,"Freshwater",0
"24","Arapaima gigas",2076,"Osteoglossiformes","Arapaimidae","demersal",NA,"fusiform",450,"tropical",3.46,0.26,2.1,"Freshwater",0
"25","Orestias mulleri",49636,"Cyprinodontiformes","Cyprinodontidae","benthopelagic",NA,"fusiform",4.5,"tropical",2.95,1.39,0.7,"Freshwater",0
"26","Orestias olivaceus",49638,"Cyprinodontiformes","Cyprinodontidae","benthopelagic",NA,"fusiform",7.5,"tropical",2.91,0.87,1,"Freshwater",0
"27","Orestias luteus",49618,"Cyprinodontiformes","Cyprinodontidae","benthopelagic",NA,"elongate",17,"tropical",2.86,0.41,1.9,"Freshwater",0
"28","Orestias agassizii",49596,"Cyprinodontiformes","Cyprinodontidae","benthopelagic",NA,"elongate",7,"tropical",2.92,0.93,1,"Freshwater",0
"29","Odontesthes bonariensis",4678,"Atheriniformes","Atherinopsidae","pelagic_neritic",NA,"elongate",50,"tropical",2.57,0.77,0.9,"Freshwater",1
"30","Orestias ispi",49616,"Cyprinodontiformes","Cyprinodontidae","benthopelagic",NA,"elongate",9,"tropical",2.9,0.73,1.2,"Freshwater",0
"31","Squalius cephalus",4482,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",60,"temperate",2.73,0.14,4.9,"Freshwater",0
"32","Geotria australis",6947,"Petromyzontiformes","Geotriidae","demersal",NA,"elongate",57,"temperate",4.5,0.207554404252338,3.94431435410877,"Freshwater",0
"33","Basilichthys australis",25855,"Atheriniformes","Atherinopsidae","pelagic",NA,"fusiform",30,"tropical",2.93,0.84,1.6,"Freshwater",1
"34","Ameiurus melas",291,"Siluriformes","Ictaluridae","demersal",NA,"fusiform",66,"temperate",3.81,0.22,3.1,"Brackish",0
"35","Ictalurus punctatus",290,"Siluriformes","Ictaluridae","benthopelagic",NA,"fusiform",132,"temperate",4.16,0.13,4.9,"Freshwater",0
"36","Lates niloticus",347,"Perciformes","Latidae","demersal",60,"fusiform",200,"tropical",4.48,0.31,2,"Freshwater",0
"37","Rastrineobola argentea",281,"Cypriniformes","Cyprinidae","pelagic",NA,"fusiform",9,"tropical",3.41,0.99,0.9,"Brackish",1
"38","Micropterus salmoides",3385,"Perciformes","Centrarchidae","benthopelagic",7,"fusiform",97,"subtropical",3.84,0.29,2.3,"Freshwater",0
"39","Barbus barbus",4472,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",120,"temperate",3.1,0.05,12.4,"Freshwater",0
"40","Oreochromis niloticus",2,"Perciformes","Cichlidae","benthopelagic",20,"fusiform",60,"tropical",2,0.54,1.3,"Freshwater",0
"41","Alestes baremoze",2405,"Characiformes","Alestidae","benthopelagic",NA,"fusiform",43,"tropical",3.05,0.83,0.9,"Freshwater",0
"42","Heterotis niloticus",2388,"Osteoglossiformes","Arapaimidae","pelagic",NA,"fusiform",100,"tropical",2.65,0.19,3.2,"Freshwater",1
"43","Hydrocynus forskahlii",4496,"Characiformes","Alestidae","pelagic",NA,"elongate",78,"tropical",4,0.29,2.2,"Freshwater",1
"44","Hydrocynus goliath",8682,"Characiformes","Alestidae","pelagic",NA,"fusiform",133,"tropical",3.79,0.12,4.9,"Brackish",1
"45","Bagrus docmak",6519,"Siluriformes","Bagridae","benthopelagic",80,"fusiform",127,"tropical",4.08,0.07,8.5,"Freshwater",0
"46","Labeobarbus altianalis",11282,"Cypriniformes","Cyprinidae","benthopelagic",50,"fusiform",90,"tropical",3.37,0.1,6.2,"Freshwater",0
"47","Protopterus aethiopicus",8734,"Lepidosireniformes","Protopteridae","demersal",60,"elongate",200,"tropical",4.4,0.15210826037552,6.96484871665883,"Brackish",0
"48","Clarias gariepinus",1934,"Siluriformes","Clariidae","benthopelagic",80,"elongate",170,"tropical",3.76,0.08,7.3,"Freshwater",0
"49","Labeo forskalii",11542,"Cypriniformes","Cyprinidae","benthopelagic",NA,"elongate",36,"tropical",2.5,0.22,3.2,"Freshwater",0
"50","Protopterus dolloi",8736,"Lepidosireniformes","Protopteridae","demersal",NA,"elongate",130,"tropical",3.2,0.15210826037552,6.96484871665883,"Freshwater",0
"51","Hepsetus odoe",4530,"Characiformes","Hepsetidae","demersal",NA,"elongate",44.2,"tropical",4.1,1.41,0.6,"Brackish",0
"52","Gephyroglanis congicus",9331,"Siluriformes","Claroteidae","demersal",NA,"elongate",43,"tropical",3.56,0.31,2.2,"Freshwater",0
"53","Channallabes apus",9445,"Siluriformes","Clariidae","demersal",NA,"elongate",41.6,"tropical",3.49,0.39,1.8,"Freshwater",0
"54","Clariallabes attemsi",9446,"Siluriformes","Clariidae","demersal",NA,"elongate",11.6,"tropical",3.48,1.27,0.7,"Freshwater",0
"55","Schilbe mystus",2447,"Siluriformes","Schilbeidae","demersal",69,"fusiform",35,"tropical",3.45,0.35,2,"Freshwater",0
"56","Citharinus gibbosus",11267,"Characiformes","Citharinidae","pelagic",NA,"short_deep",61,"tropical",2.17,0.34,1.9,"Freshwater",1
"57","Auchenoglanis occidentalis",2438,"Siluriformes","Claroteidae","demersal",NA,"fusiform",70,"tropical",2.9,0.3,2.2,"Freshwater",0
"58","Labeo lineatus",11553,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",78,"tropical",2.04,0.11,5.7,"Freshwater",0
"59","Parachanna obscura",5467,"Perciformes","Channidae","demersal",NA,"elongate",50,"tropical",3.41,0.26,2.6,"Freshwater",0
"60","Stolothrissa tanganicae",1549,"Clupeiformes","Clupeidae","pelagic",60,"elongate",10,"tropical",2.74,1.87,0.4,"Freshwater",1
"61","Limnothrissa miodon",1550,"Clupeiformes","Clupeidae","pelagic",60,"fusiform",17,"tropical",3.12,2.18,0.4,"Freshwater",1
"62","Lates stappersii",4498,"Perciformes","Latidae","demersal",NA,"fusiform",45,"tropical",4.27,0.35,1.9,"Freshwater",0
"63","Dinotopterus cunningtoni",9463,"Siluriformes","Clariidae","demersal",130,"elongate",175,"tropical",3.75,0.09,6.3,"Freshwater",0
"64","Boulengerochromis microlepis",6008,"Perciformes","Cichlidae","pelagic",85,"fusiform",80,"tropical",4.5,0.38,2.5,"Freshwater",1
"65","Tylochromis aristoma",8986,"Perciformes","Cichlidae","benthopelagic",NA,"fusiform",19.3,"tropical",2.66,0.54,1.4,"Freshwater",0
"66","Pelmatolapia mariae",2489,"Perciformes","Cichlidae","demersal",NA,"fusiform",32.3,"tropical",3.54,0.46,1.7,"Brackish",0
"67","Mormyrops anguilloides",2394,"Osteoglossiformes","Mormyridae","demersal",NA,"elongate",150,"tropical",3.77,0.33,1.9,"Brackish",0
"68","Campylomormyrus numenius",10849,"Osteoglossiformes","Mormyridae","demersal",NA,"elongate",65,"tropical",3.25,0.25,2.6,"Freshwater",0
"69","Hydrocynus vittatus",4479,"Characiformes","Alestidae","demersal",NA,"fusiform",105,"tropical",3.74,0.34,1.9,"Freshwater",0
"70","Synodontis acanthomias",9531,"Siluriformes","Mochokidae","benthopelagic",NA,"elongate",59,"tropical",2.82,0.26,2.5,"Freshwater",0
"71","Mormyrus rume",2397,"Osteoglossiformes","Mormyridae","demersal",NA,"fusiform",100,"tropical",2.48,0.14,4.4,"Freshwater",0
"72","Gnathonemus petersii",2085,"Osteoglossiformes","Mormyridae","demersal",NA,"fusiform",35,"tropical",3.13,0.36,2,"Freshwater",0
"73","Synodontis schall",2458,"Siluriformes","Mochokidae","benthopelagic",NA,"fusiform",37,"tropical",2.92,0.94,0.8,"Brackish",0
"74","Chrysichthys maurus",2441,"Siluriformes","Claroteidae","demersal",NA,"elongate",51,"tropical",2.69,0.27,2.5,"Freshwater",0
"75","Brycinus leuciscus",5231,"Characiformes","Alestidae","pelagic",NA,"fusiform",12,"tropical",3.01,1.19,0.7,"Freshwater",1
"76","Labeo coubie",2434,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",75,"tropical",2,0.26,2.5,"Brackish",0
"77","Alestes dentex",5229,"Characiformes","Alestidae","pelagic",NA,"fusiform",55,"tropical",2.93,0.43,1.7,"Freshwater",1
"78","Guavina guavina",27916,"Perciformes","Eleotridae","demersal",NA,"fusiform",30,"tropical",4.2,0.26,2.8,"Freshwater",0
"79","Gobionellus oceanicus",3862,"Perciformes","Gobiidae","demersal",NA,"fusiform",15.38,"tropical",3.45,0.43,1.8,"Freshwater",0
"80","Bagrus bajad",5462,"Siluriformes","Bagridae","demersal",60,"fusiform",112,"tropical",4.02,0.2,3.2,"Freshwater",0
"81","Parailia pellucida",9372,"Siluriformes","Schilbeidae","demersal",NA,"elongate",12,"tropical",3.45,0.63,1.3,"Freshwater",0
"82","Osteochilus vittatus",277,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",32,"tropical",2,1.15,0.6,"Mixed",0
"83","Labeo capensis",5129,"Cypriniformes","Cyprinidae","benthopelagic",NA,"short_deep",50,"subtropical",2,0.15,4.5,"Brackish",0
"84","Labeobarbus aeneus",4818,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",50,"subtropical",3.11,0.27,2.5,"Freshwater",0
"85","Labeobarbus kimberleyensis",4673,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",82.5,"tropical",3.59,0.075,7.7,"Brackish",0
"86","Sarotherodon melanotheron",1412,"Perciformes","Cichlidae","demersal",NA,"short_deep",28,"tropical",2.46,1.25,0.6,"Brackish",0
"87","Acanthodoras spinosissimus",12103,"Siluriformes","Doradidae","demersal",NA,"elongate",13.7,"tropical",2.82,0.79,1,"Mixed",0
"88","Carassius gibelio",6376,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",46.6,"temperate",2.47,0.18,3.8,"Freshwater",0
"89","Capoeta capoeta",13157,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",41,"subtropical",2,0.15,4.6,"Freshwater",0
"90","Alburnus tarichi",9635,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",20.2,"temperate",2.73,0.32,2.4,"Mixed",0
"91","Prochilodus lineatus",13056,"Characiformes","Prochilodontidae","benthopelagic",NA,"fusiform",80,"tropical",2.18,0.43,1.5,"Freshwater",0
"92","Odontesthes incisa",12926,"Atheriniformes","Atherinopsidae","demersal",NA,"elongate",10,"tropical",3.39,1.3,0.7,"Brackish",0
"93","Megaleporinus obtusidens",23445,"Characiformes","Anostomidae","benthopelagic",NA,"elongate",76,"tropical",3.23,0.12,5.5,"Freshwater",0
"94","Salminus brasiliensis",56329,"Characiformes","Bryconidae","benthopelagic",NA,"fusiform",100,"tropical",3.79,0.23,2.7,"Freshwater",0
"95","Pterodoras granulosus",12109,"Siluriformes","Doradidae","demersal",NA,"fusiform",70,"tropical",2.55,0.18,3.5,"Brackish",0
"96","Luciopimelodus pati",12117,"Siluriformes","Pimelodidae","demersal",NA,"elongate",103,"tropical",3.1,0.17,3.6,"Freshwater",0
"97","Pimelodus maculatus",23451,"Siluriformes","Pimelodidae","benthopelagic",NA,"fusiform",51,"tropical",2.87,0.33,2,"Brackish",0
"98","Pimelodus albicans",23450,"Siluriformes","Pimelodidae","benthopelagic",NA,"elongate",57,"tropical",3.36,0.24,2.7,"Freshwater",0
"99","Ageneiosus militaris",53698,"Siluriformes","Auchenipteridae","pelagic",NA,"elongate",30,"tropical",3.72,0.3,2.4,"Freshwater",1
"100","Brycon orbignyanus",48557,"Characiformes","Bryconidae","benthopelagic",NA,"fusiform",79.5,"tropical",2.65,0.25,2.5,"Freshwater",0
"101","Megalonema platanum",47742,"Siluriformes","Pimelodidae","demersal",NA,"elongate",40,"tropical",4.05,0.34,2,"Brackish",0
"102","Plagioscion ternetzi",56999,"Perciformes","Sciaenidae","benthopelagic",NA,"elongate",39,"tropical",3.92,0.37,1.9,"Freshwater",0
"103","Rhamdia quelen",23351,"Siluriformes","Heptapteridae","benthopelagic",3,"elongate",47.4,"tropical",3.92,0.26585612053905,2.34578799757361,"Freshwater",0
"104","Sorubim lima",12144,"Siluriformes","Pimelodidae","demersal",NA,"elongate",54.2,"tropical",4.1,0.27,2.4,"Freshwater",0
"105","Oxydoras kneri",47639,"Siluriformes","Doradidae","demersal",NA,"fusiform",70,"tropical",3.17,0.17,3.7,"Freshwater",0
"106","Pygocentrus nattereri",4501,"Characiformes","Serrasalmidae","pelagic",NA,"short_deep",50,"tropical",3.72,0.7,1,"Freshwater",1
"107","Piaractus mesopotamicus",55383,"Characiformes","Serrasalmidae","demersal",NA,"short_deep",40.5,"tropical",2,0.48,1.4,"Brackish",0
"108","Pinirampus pirinampu",8688,"Siluriformes","Pimelodidae","demersal",NA,"fusiform",120,"tropical",4.5,0.15,4,"Freshwater",0
"109","Zungaro jahu",63393,"Siluriformes","Pimelodidae","benthopelagic",NA,"elongate",140,"tropical",4.46,0.11,5.3,"Freshwater",0
"110","Pseudopimelodus mangurus",58260,"Siluriformes","Pseudopimelodidae","demersal",NA,"elongate",69,"tropical",3.93,0.26585612053905,2.34578799757361,"Freshwater",0
"111","Hemisorubim platyrhynchos",13261,"Siluriformes","Pimelodidae","demersal",NA,"elongate",61,"tropical",4.5,0.22,3,"Brackish",0
"112","Synbranchus marmoratus",5319,"Synbranchiformes","Synbranchidae","demersal",NA,"elongate",150,"tropical",2.76,0.08,7.3,"Freshwater",0
"113","Pterygoplichthys anisitsi",12218,"Siluriformes","Loricariidae","demersal",NA,"elongate",54.9,"tropical",2,0.169988668300044,3.48100263431213,"Freshwater",0
"114","Oligosarcus jenynsii",23429,"Characiformes","Characidae","benthopelagic",NA,"fusiform",31,"tropical",3.97,0.6,1.3,"Brackish",0
"115","Gymnotus carapo",10915,"Gymnotiformes","Gymnotidae","benthopelagic",NA,"elongate",76,"tropical",3.56,0.31,2.2,"Freshwater",0
"116","Brachyhypopomus brevirostris",12222,"Gymnotiformes","Hypopomidae","benthopelagic",NA,"elongate",34.7,"tropical",3.18,0.343160531329963,2.20317641530553,"Freshwater",0
"117","Percichthys trucha",12129,"Perciformes","Percichthyidae","benthopelagic",NA,"fusiform",40,"tropical",3.28,0.19,3.7,"Freshwater",0
"118","Odontesthes hatcheri",50822,"Atheriniformes","Atherinopsidae","benthopelagic",NA,"fusiform",13.5,"tropical",3.91,0.57,2.3,"Freshwater",0
"119","Hemibagrus wyckioides",26973,"Siluriformes","Bagridae","demersal",NA,"elongate",130,"tropical",3.73,0.07,8.4,"Freshwater",0
"120","Bagarius bagarius",12006,"Siluriformes","Sisoridae","benthopelagic",NA,"elongate",200,"tropical",3.72,0.02,27.8,"Freshwater",0
"121","Hemibagrus filamentus",58032,"Siluriformes","Bagridae","benthopelagic",NA,"fusiform",50,"tropical",3.56,0.16,4.2,"Freshwater",0
"122","Hypsibarbus malcolmi",27525,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",50,"tropical",3.2,0.14,4.8,"Freshwater",0
"123","Phalacronotus apogon",16143,"Siluriformes","Siluridae","benthopelagic",NA,"elongate",130,"tropical",4.5,0.07,8.4,"Freshwater",0
"124","Labeo chrysophekadion",12102,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",90,"tropical",2,0.1,6.2,"Freshwater",0
"125","Bagarius yarrelli",23314,"Siluriformes","Sisoridae","demersal",NA,"elongate",200,"tropical",3.73,0.02,27.8,"Freshwater",0
"126","Sikukia gudgeri",27112,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",18,"tropical",2.28,0.35,2.2,"Brackish",0
"127","Mystacoleucus marginatus",16116,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",20,"tropical",2.96,0.38,2,"Freshwater",0
"128","Pangasius conchophilus",14126,"Siluriformes","Pangasiidae","benthopelagic",NA,"elongate",120,"tropical",2.73,0.1607667929111,3.39813418639906,"Freshwater",0
"129","Cosmochilus harmandi",27101,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",100,"tropical",2,0.09,6.8,"Freshwater",0
"130","Helicophagus waandersii",14226,"Siluriformes","Pangasiidae","demersal",NA,"elongate",70,"tropical",3.15,0.197021698719602,2.92529060481918,"Freshwater",0
"131","Probarbus jullieni",5422,"Cypriniformes","Cyprinidae","demersal",NA,"elongate",150,"tropical",3.17,0.05,11.6,"Freshwater",0
"132","Pangasius bocourti",14112,"Siluriformes","Pangasiidae","benthopelagic",NA,"fusiform",120,"tropical",3.18,0.1607667929111,3.39813418639906,"Freshwater",0
"133","Pangasius macronema",14194,"Siluriformes","Pangasiidae","benthopelagic",NA,"elongate",30,"tropical",3.2,0.1607667929111,3.39813418639906,"Freshwater",0
"134","Pangasius krempfi",14181,"Siluriformes","Pangasiidae","benthopelagic",NA,"elongate",120,"tropical",2,0.1607667929111,3.39813418639906,"Freshwater",0
"135","Puntioplites proctozystron",16203,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",30,"tropical",2.7,0.26,2.8,"Freshwater",0
"136","Citharinus latus",5268,"Characiformes","Citharinidae","demersal",NA,"short_deep",84,"tropical",2.19,0.21,3,"Freshwater",0
"137","Gymnarchus niloticus",4519,"Osteoglossiformes","Gymnarchidae","demersal",NA,"elongate",167,"tropical",3.71,0.12,4.7,"Freshwater",0
"138","Hyperopisus bebe",5075,"Osteoglossiformes","Mormyridae","demersal",NA,"fusiform",51,"tropical",3.6,0.26,2.6,"Freshwater",0
"139","Papyrocranus afer",5063,"Osteoglossiformes","Notopteridae","demersal",NA,"fusiform",80,"tropical",3.15,0.29,2.3,"Freshwater",0
"140","Coptodon discolor",2487,"Perciformes","Cichlidae","demersal",NA,"fusiform",22.5,"tropical",2.55,0.56,1.3,"Freshwater",0
"141","Polypterus senegalus",5024,"Polypteriformes","Polypteridae","demersal",NA,"elongate",70,"tropical",3.54,0.554003766901511,1.4569282772341,"Freshwater",0
"142","Auchenoglanis biscutatus",5464,"Siluriformes","Claroteidae","demersal",NA,"elongate",54,"tropical",3.08,0.25,2.7,"Freshwater",0
"143","Clarotes bidorsalis",9329,"Siluriformes","Claroteidae","demersal",NA,"fusiform",22.5,"tropical",3.42,0.69,1.1,"Freshwater",0
"144","Clarias anguillaris",376,"Siluriformes","Clariidae","demersal",NA,"elongate",100,"tropical",3.35,0.17,3.6,"Freshwater",0
