,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept,-0.223,0.771,-1.617,1.343,0.017,0.027,2014.0,394.0,2012.0,1370.0,1.07
Cla_nc[0],0.185,0.843,-1.415,1.694,0.095,0.067,79.0,79.0,74.0,1076.0,1.04
Cla_nc[1],0.03,0.902,-1.762,1.466,0.156,0.111,33.0,33.0,36.0,1724.0,1.07
Ord_nc[0],-0.485,0.673,-1.918,0.678,0.017,0.032,1516.0,220.0,1404.0,2247.0,1.03
Ord_nc[1],0.634,0.522,-0.304,1.619,0.051,0.036,106.0,106.0,94.0,1069.0,1.04
Ord_nc[2],-0.482,0.371,-1.243,0.207,0.011,0.011,1133.0,621.0,1215.0,600.0,1.1
Ord_nc[3],0.432,0.65,-0.844,1.604,0.026,0.027,638.0,301.0,626.0,2108.0,1.02
Ord_nc[4],0.465,0.77,-0.872,2.078,0.019,0.015,1582.0,1294.0,1565.0,1695.0,1.09
Ord_nc[5],0.557,0.793,-0.864,2.107,0.064,0.045,153.0,153.0,171.0,670.0,1.02
Ord_nc[6],-0.614,0.627,-1.777,0.438,0.109,0.078,33.0,33.0,33.0,420.0,1.08
Ord_nc[7],0.778,0.688,-0.57,1.975,0.034,0.024,398.0,398.0,410.0,1167.0,1.02
Ord_nc[8],0.504,0.814,-1.063,1.944,0.092,0.065,78.0,78.0,83.0,2222.0,1.04
Ord_nc[9],0.914,0.771,-0.446,2.411,0.108,0.077,51.0,51.0,49.0,1391.0,1.06
Ord_nc[10],-1.268,0.591,-2.355,-0.12,0.017,0.014,1163.0,899.0,1122.0,1111.0,1.03
Ord_nc[11],0.234,0.774,-1.075,1.769,0.085,0.06,83.0,83.0,88.0,1805.0,1.04
Ord_nc[12],-0.583,0.739,-1.967,0.834,0.045,0.042,270.0,159.0,254.0,1700.0,1.02
Ord_nc[13],-0.822,0.966,-2.626,0.84,0.218,0.192,20.0,13.0,20.0,49.0,1.13
Ord_nc[14],-0.711,0.817,-2.202,0.854,0.077,0.054,113.0,113.0,105.0,1973.0,1.03
Ord_nc[15],0.372,0.779,-1.234,1.693,0.038,0.027,427.0,427.0,742.0,2017.0,1.02
Ord_nc[16],0.446,0.78,-0.884,2.018,0.02,0.024,1579.0,531.0,1539.0,2222.0,1.08
Ord_nc[17],0.988,0.699,-0.352,2.369,0.016,0.013,1876.0,1551.0,1792.0,1381.0,1.08
Ord_nc[18],-1.135,0.777,-2.694,0.289,0.02,0.019,1553.0,835.0,1505.0,1994.0,1.05
Ord_nc[19],-0.32,0.782,-1.883,1.09,0.021,0.016,1437.0,1231.0,1436.0,1220.0,1.05
Ord_nc[20],0.5,0.598,-0.736,1.565,0.016,0.012,1340.0,1340.0,1198.0,1951.0,1.06
Ord_nc[21],-0.456,0.618,-1.676,0.6,0.064,0.045,94.0,94.0,99.0,2053.0,1.04
Fam_nc[0],0.101,0.908,-1.658,1.819,0.017,0.031,2714.0,425.0,2721.0,1968.0,1.12
Fam_nc[1],0.186,0.849,-1.397,1.883,0.023,0.04,1370.0,225.0,1302.0,2303.0,1.04
Fam_nc[2],-0.224,1.045,-2.031,1.488,0.219,0.157,23.0,23.0,24.0,115.0,1.11
Fam_nc[3],0.124,0.923,-1.682,1.904,0.021,0.023,1897.0,782.0,1602.0,1560.0,1.02
Fam_nc[4],0.425,0.825,-1.19,1.888,0.057,0.04,213.0,213.0,217.0,1757.0,1.02
Fam_nc[5],-0.239,0.851,-1.924,1.321,0.016,0.027,2741.0,508.0,2646.0,2492.0,1.05
Fam_nc[6],0.463,0.831,-1.124,2.085,0.02,0.015,1728.0,1559.0,1735.0,2100.0,1.09
Fam_nc[7],-0.041,1.066,-1.741,1.889,0.197,0.141,29.0,29.0,33.0,570.0,1.08
Fam_nc[8],0.114,0.943,-1.484,1.942,0.105,0.075,80.0,80.0,92.0,2386.0,1.03
Fam_nc[9],0.15,0.882,-1.715,1.682,0.019,0.017,2134.0,1310.0,2113.0,2074.0,1.04
Fam_nc[10],-0.266,0.909,-2.063,1.414,0.021,0.039,1926.0,270.0,1840.0,2444.0,1.08
Fam_nc[11],0.213,0.895,-1.409,2.002,0.021,0.039,1893.0,268.0,1849.0,542.0,1.06
Fam_nc[12],0.269,0.927,-1.307,2.208,0.038,0.036,591.0,334.0,671.0,809.0,1.02
Fam_nc[13],0.088,0.942,-1.619,1.962,0.027,0.024,1216.0,798.0,1204.0,1921.0,1.01
Fam_nc[14],0.372,0.935,-1.394,2.161,0.032,0.023,832.0,832.0,803.0,2393.0,1.01
Fam_nc[15],0.076,1.1,-1.796,1.94,0.263,0.189,17.0,17.0,21.0,129.0,1.13
Fam_nc[16],-0.615,0.93,-2.476,1.068,0.023,0.023,1644.0,837.0,1592.0,1703.0,1.11
Fam_nc[17],0.009,0.954,-1.539,1.979,0.13,0.093,53.0,53.0,53.0,2477.0,1.05
Fam_nc[18],-0.039,0.878,-1.791,1.59,0.018,0.038,2362.0,273.0,2296.0,2087.0,1.04
Fam_nc[19],0.491,0.841,-1.169,1.988,0.028,0.02,888.0,888.0,865.0,849.0,1.02
Fam_nc[20],0.652,0.941,-1.276,2.352,0.029,0.023,1045.0,858.0,1052.0,1093.0,1.05
Fam_nc[21],-0.254,0.889,-1.913,1.531,0.02,0.019,1899.0,1097.0,1805.0,1407.0,1.06
Fam_nc[22],-0.234,0.948,-1.973,1.724,0.021,0.042,2009.0,257.0,1990.0,841.0,1.12
Fam_nc[23],-0.193,0.939,-2.21,1.47,0.02,0.044,2147.0,225.0,1955.0,1388.0,1.06
Fam_nc[24],-0.12,0.926,-1.871,1.653,0.02,0.032,2084.0,407.0,2015.0,1837.0,1.09
Fam_nc[25],-0.224,0.935,-2.115,1.539,0.022,0.031,1733.0,467.0,1727.0,907.0,1.09
Fam_nc[26],0.123,0.895,-1.414,1.944,0.028,0.023,1006.0,737.0,1032.0,2167.0,1.01
Fam_nc[27],0.415,0.887,-1.362,1.983,0.043,0.03,429.0,429.0,682.0,1911.0,1.02
Fam_nc[28],-0.138,0.981,-2.011,1.442,0.171,0.122,33.0,33.0,35.0,2086.0,1.07
Fam_nc[29],0.117,0.955,-1.695,1.972,0.024,0.049,1594.0,191.0,1578.0,947.0,1.03
Fam_nc[30],0.351,1.016,-1.642,1.902,0.186,0.133,30.0,30.0,32.0,1902.0,1.08
Fam_nc[31],0.332,0.954,-1.455,2.119,0.026,0.035,1297.0,377.0,1287.0,1185.0,1.07
Fam_nc[32],-0.408,0.933,-2.234,1.368,0.023,0.018,1655.0,1376.0,1671.0,1639.0,1.06
Fam_nc[33],0.008,0.896,-1.629,1.763,0.021,0.022,1900.0,804.0,1846.0,1644.0,1.04
Fam_nc[34],-0.346,0.986,-2.069,1.475,0.162,0.116,37.0,37.0,36.0,236.0,1.07
Fam_nc[35],-0.531,0.868,-2.154,1.162,0.032,0.023,723.0,723.0,759.0,1380.0,1.01
Fam_nc[36],-0.029,0.838,-1.542,1.623,0.028,0.019,924.0,924.0,963.0,1666.0,1.02
Fam_nc[37],0.024,0.9,-1.697,1.715,0.036,0.025,636.0,636.0,797.0,2138.0,1.01
Fam_nc[38],-0.178,1.037,-1.954,1.688,0.202,0.145,26.0,26.0,30.0,658.0,1.09
Fam_nc[39],-0.704,1.034,-2.643,1.028,0.167,0.124,39.0,35.0,44.0,315.0,1.06
Fam_nc[40],-0.38,1.022,-1.881,1.668,0.181,0.129,32.0,32.0,33.0,1332.0,1.08
Fam_nc[41],-0.289,1.016,-2.228,1.396,0.165,0.117,38.0,38.0,39.0,1373.0,1.07
Fam_nc[42],0.055,0.884,-1.668,1.677,0.04,0.028,493.0,493.0,690.0,2284.0,1.02
Fam_nc[43],0.066,0.813,-1.497,1.594,0.019,0.039,1901.0,213.0,1848.0,1230.0,1.09
Fam_nc[44],0.429,0.995,-1.313,2.047,0.19,0.142,27.0,25.0,31.0,597.0,1.09
Fam_nc[45],-0.309,0.864,-1.955,1.37,0.025,0.022,1211.0,763.0,1149.0,1442.0,1.01
Fam_nc[46],-0.262,0.904,-1.919,1.396,0.028,0.02,1044.0,1044.0,1086.0,2519.0,1.01
Fam_nc[47],0.119,0.911,-1.394,1.757,0.193,0.138,22.0,22.0,24.0,96.0,1.11
Fam_nc[48],-0.141,0.923,-1.887,1.687,0.019,0.029,2425.0,523.0,2391.0,1515.0,1.04
Fam_nc[49],0.165,0.897,-1.585,1.758,0.025,0.02,1295.0,1053.0,1381.0,1180.0,1.02
Fam_nc[50],0.301,0.965,-1.452,2.096,0.101,0.072,91.0,91.0,109.0,1485.0,1.03
Fam_nc[51],-0.121,1.199,-2.393,1.657,0.307,0.243,15.0,13.0,19.0,45.0,1.14
Fam_nc[52],0.133,0.939,-1.555,1.881,0.082,0.058,130.0,130.0,133.0,2026.0,1.03
Fam_nc[53],0.245,0.979,-1.587,1.937,0.099,0.07,98.0,98.0,106.0,1961.0,1.03
Fam_nc[54],0.098,0.945,-1.788,1.753,0.092,0.066,104.0,104.0,109.0,848.0,1.03
Fam_nc[55],0.471,0.997,-1.446,2.181,0.092,0.065,117.0,117.0,106.0,2253.0,1.03
Fam_nc[56],-0.28,0.943,-2.136,1.277,0.125,0.089,57.0,57.0,65.0,2158.0,1.04
Fam_nc[57],0.139,0.9,-1.549,1.921,0.019,0.029,2198.0,490.0,2088.0,1295.0,1.07
Fam_nc[58],-0.485,1.209,-2.975,1.259,0.333,0.316,13.0,8.0,17.0,24.0,1.16
Fam_nc[59],-0.645,1.029,-2.572,1.366,0.112,0.079,84.0,84.0,86.0,818.0,1.04
Gen_nc[0],0.209,0.781,-1.272,1.688,0.021,0.047,1333.0,139.0,1347.0,755.0,1.05
Gen_nc[1],-0.16,0.641,-1.325,1.152,0.015,0.013,1899.0,1210.0,1701.0,1662.0,1.03
Gen_nc[2],-0.123,0.845,-1.58,1.556,0.087,0.062,94.0,94.0,102.0,1556.0,1.03
Gen_nc[3],0.91,0.873,-0.696,2.323,0.152,0.124,33.0,26.0,36.0,2190.0,1.07
Gen_nc[4],0.938,0.662,-0.424,2.117,0.016,0.011,1801.0,1801.0,1744.0,1802.0,1.03
Gen_nc[5],-0.241,0.643,-1.578,0.895,0.02,0.029,1024.0,242.0,999.0,1267.0,1.02
Gen_nc[6],-0.631,0.836,-2.018,0.944,0.146,0.104,33.0,33.0,33.0,856.0,1.08
Gen_nc[7],-0.115,0.577,-1.227,0.965,0.014,0.017,1751.0,598.0,1693.0,1846.0,1.1
Gen_nc[8],-0.583,0.588,-1.639,0.587,0.035,0.025,285.0,285.0,343.0,1690.0,1.02
Gen_nc[9],0.473,0.819,-1.088,2.042,0.017,0.02,2362.0,856.0,2313.0,1872.0,1.08
Gen_nc[10],0.587,0.968,-1.142,2.158,0.191,0.152,26.0,21.0,26.0,279.0,1.1
Gen_nc[11],0.08,0.829,-1.372,1.526,0.168,0.12,24.0,24.0,25.0,127.0,1.1
Gen_nc[12],0.45,0.963,-1.034,2.361,0.234,0.208,17.0,11.0,19.0,39.0,1.14
Gen_nc[13],-0.47,0.777,-1.908,1.099,0.02,0.016,1548.0,1177.0,1481.0,2032.0,1.03
Gen_nc[14],0.025,0.966,-1.491,1.85,0.238,0.171,17.0,17.0,18.0,31.0,1.14
Gen_nc[15],-0.712,0.715,-2.048,0.677,0.018,0.013,1540.0,1465.0,1427.0,1798.0,1.03
Gen_nc[16],-0.136,0.814,-1.487,1.577,0.053,0.037,238.0,238.0,333.0,2029.0,1.02
Gen_nc[17],-0.1,0.834,-1.712,1.469,0.017,0.021,2312.0,793.0,2324.0,1732.0,1.06
Gen_nc[18],0.284,0.86,-1.452,1.84,0.02,0.041,1762.0,220.0,1490.0,1541.0,1.03
Gen_nc[19],0.624,0.852,-0.847,2.318,0.052,0.057,266.0,110.0,311.0,2396.0,1.02
Gen_nc[20],-0.084,0.831,-1.665,1.455,0.024,0.028,1167.0,433.0,1265.0,2619.0,1.04
Gen_nc[21],0.325,0.751,-0.972,1.76,0.088,0.062,73.0,73.0,78.0,1911.0,1.04
Gen_nc[22],0.76,0.704,-0.605,1.893,0.09,0.064,60.0,60.0,61.0,2289.0,1.04
Gen_nc[23],-2.003,0.724,-3.333,-0.668,0.064,0.045,129.0,129.0,151.0,1693.0,1.03
Gen_nc[24],0.5,1.067,-1.058,2.602,0.301,0.283,13.0,8.0,16.0,21.0,1.17
Gen_nc[25],0.252,0.69,-1.0,1.706,0.013,0.026,2625.0,360.0,2551.0,1563.0,1.1
Gen_nc[26],-0.483,0.81,-2.098,1.043,0.019,0.032,1792.0,325.0,1359.0,1656.0,1.02
Gen_nc[27],-0.032,0.668,-1.311,1.121,0.077,0.055,75.0,75.0,74.0,807.0,1.04
Gen_nc[28],0.164,0.567,-0.988,1.222,0.013,0.02,1949.0,385.0,1963.0,2361.0,1.1
Gen_nc[29],1.253,0.682,-0.093,2.564,0.015,0.01,2209.0,2209.0,2166.0,2336.0,1.09
Gen_nc[30],0.517,0.832,-0.692,2.233,0.245,0.234,12.0,7.0,15.0,15.0,1.19
Gen_nc[31],-0.068,0.803,-1.52,1.391,0.089,0.063,81.0,81.0,85.0,2105.0,1.04
Gen_nc[32],1.141,0.618,-0.028,2.255,0.092,0.065,46.0,46.0,45.0,781.0,1.06
Gen_nc[33],-0.645,0.716,-2.047,0.693,0.018,0.015,1589.0,1200.0,1504.0,714.0,1.04
Gen_nc[34],0.439,0.761,-0.805,1.827,0.123,0.087,38.0,38.0,39.0,1492.0,1.07
Gen_nc[35],-0.466,0.876,-2.299,1.061,0.021,0.046,1686.0,184.0,1904.0,891.0,1.05
Gen_nc[36],-0.518,0.781,-2.094,0.884,0.019,0.014,1619.0,1619.0,1507.0,2387.0,1.04
Gen_nc[37],-0.187,0.796,-1.793,1.272,0.017,0.026,2144.0,457.0,2074.0,1726.0,1.08
Gen_nc[38],-0.322,0.926,-2.081,1.243,0.137,0.097,46.0,46.0,46.0,1682.0,1.06
Gen_nc[39],-0.368,0.779,-1.826,1.168,0.026,0.04,915.0,189.0,1017.0,1993.0,1.02
Gen_nc[40],1.584,0.65,0.355,2.684,0.088,0.063,54.0,54.0,55.0,2188.0,1.05
Gen_nc[41],-0.408,0.816,-1.876,1.172,0.073,0.052,125.0,125.0,133.0,2169.0,1.02
Gen_nc[42],-0.072,0.734,-1.427,1.067,0.155,0.111,22.0,22.0,23.0,394.0,1.11
Gen_nc[43],0.961,0.815,-0.746,2.317,0.073,0.052,125.0,125.0,143.0,2082.0,1.03
Gen_nc[44],-1.627,0.765,-2.994,-0.209,0.094,0.067,66.0,66.0,74.0,1629.0,1.04
Gen_nc[45],-0.686,0.81,-2.134,0.927,0.036,0.026,503.0,503.0,465.0,2062.0,1.02
Gen_nc[46],0.628,0.76,-0.808,1.88,0.133,0.098,33.0,31.0,34.0,1131.0,1.08
Gen_nc[47],0.265,0.849,-1.451,1.867,0.017,0.019,2382.0,977.0,2407.0,1427.0,1.06
Gen_nc[48],0.839,0.797,-0.645,2.417,0.023,0.016,1168.0,1168.0,1183.0,2331.0,1.03
Gen_nc[49],0.077,0.858,-1.564,1.423,0.152,0.109,32.0,32.0,33.0,2173.0,1.08
Gen_nc[50],1.096,0.825,-0.368,2.665,0.034,0.041,592.0,203.0,594.0,1753.0,1.02
Gen_nc[51],0.42,0.881,-1.391,1.997,0.019,0.015,2138.0,1678.0,2095.0,1891.0,1.02
Gen_nc[52],0.796,0.852,-0.633,2.475,0.068,0.048,156.0,156.0,193.0,1212.0,1.02
Gen_nc[53],-0.22,0.773,-1.793,1.183,0.017,0.028,2093.0,382.0,1711.0,2260.0,1.05
Gen_nc[54],0.64,0.749,-0.815,2.081,0.018,0.012,1803.0,1803.0,1822.0,1974.0,1.09
Gen_nc[55],0.178,0.766,-1.28,1.571,0.019,0.022,1582.0,583.0,1583.0,2424.0,1.05
Gen_nc[56],0.889,0.844,-0.769,2.243,0.117,0.083,52.0,52.0,60.0,2247.0,1.04
Gen_nc[57],-0.137,0.822,-1.781,1.256,0.086,0.061,90.0,90.0,96.0,2044.0,1.03
Gen_nc[58],-0.679,0.952,-2.294,0.898,0.209,0.15,21.0,21.0,24.0,151.0,1.11
Gen_nc[59],-0.561,0.809,-1.976,1.085,0.019,0.014,1789.0,1789.0,1671.0,2743.0,1.02
Gen_nc[60],-0.479,0.807,-2.025,1.084,0.015,0.016,2791.0,1318.0,2722.0,1557.0,1.09
Gen_nc[61],0.51,0.8,-1.126,1.825,0.082,0.058,94.0,94.0,95.0,2099.0,1.03
Gen_nc[62],-0.026,0.801,-1.573,1.428,0.018,0.037,1881.0,237.0,1863.0,2137.0,1.08
Gen_nc[63],0.753,0.739,-0.59,2.063,0.081,0.057,83.0,83.0,94.0,2303.0,1.03
Gen_nc[64],0.714,0.869,-0.93,2.318,0.067,0.047,169.0,169.0,185.0,1893.0,1.02
Gen_nc[65],0.085,0.785,-1.491,1.498,0.031,0.022,660.0,660.0,901.0,2438.0,1.01
Gen_nc[66],0.039,0.769,-1.432,1.472,0.018,0.021,1765.0,684.0,1746.0,2433.0,1.01
Gen_nc[67],0.14,0.825,-1.385,1.442,0.17,0.122,24.0,24.0,26.0,166.0,1.1
Gen_nc[68],0.509,0.802,-1.007,1.96,0.075,0.053,116.0,116.0,124.0,2443.0,1.03
Gen_nc[69],-0.051,0.792,-1.563,1.492,0.014,0.03,3286.0,357.0,3248.0,2058.0,1.11
Gen_nc[70],-0.486,0.776,-1.893,1.072,0.014,0.017,2939.0,1084.0,2768.0,2160.0,1.07
Gen_nc[71],0.134,0.674,-1.142,1.437,0.021,0.015,1007.0,1007.0,1025.0,1369.0,1.02
Gen_nc[72],-0.322,0.833,-1.904,0.939,0.146,0.104,32.0,32.0,35.0,2484.0,1.08
Gen_nc[73],0.188,0.601,-0.862,1.246,0.073,0.052,68.0,68.0,75.0,1639.0,1.05
Gen_nc[74],-0.085,0.58,-1.108,0.856,0.113,0.081,26.0,26.0,27.0,251.0,1.1
Gen_nc[75],-0.117,0.801,-1.467,1.569,0.049,0.035,267.0,267.0,283.0,750.0,1.02
Gen_nc[76],0.774,0.778,-0.658,2.324,0.017,0.014,2195.0,1466.0,2094.0,992.0,1.08
Gen_nc[77],0.028,0.782,-1.469,1.489,0.019,0.019,1614.0,840.0,1279.0,1884.0,1.02
Gen_nc[78],-0.861,0.761,-2.182,0.601,0.103,0.073,55.0,55.0,58.0,2004.0,1.05
Gen_nc[79],-1.247,0.757,-2.758,0.194,0.022,0.024,1170.0,501.0,1171.0,1632.0,1.07
Gen_nc[80],0.489,0.801,-1.055,1.918,0.027,0.019,851.0,851.0,680.0,2015.0,1.02
Gen_nc[81],-0.609,1.013,-2.411,0.992,0.26,0.233,15.0,10.0,18.0,123.0,1.15
Gen_nc[82],-0.995,0.89,-2.654,0.735,0.09,0.064,98.0,98.0,106.0,1671.0,1.03
Gen_nc[83],-0.038,0.801,-1.608,1.478,0.015,0.025,2776.0,507.0,2738.0,1991.0,1.06
Gen_nc[84],1.076,0.765,-0.097,2.582,0.148,0.106,27.0,27.0,27.0,980.0,1.09
Gen_nc[85],0.279,0.631,-0.893,1.563,0.017,0.012,1408.0,1408.0,1269.0,2227.0,1.02
Gen_nc[86],0.254,0.66,-1.053,1.398,0.07,0.05,88.0,88.0,88.0,1424.0,1.03
Gen_nc[87],0.286,0.656,-0.953,1.348,0.085,0.06,60.0,60.0,65.0,1613.0,1.04
Gen_nc[88],0.163,0.674,-1.021,1.499,0.047,0.033,209.0,209.0,211.0,1933.0,1.02
Gen_nc[89],-1.387,0.635,-2.527,-0.067,0.018,0.013,1279.0,1279.0,1334.0,779.0,1.09
Gen_nc[90],-0.559,0.733,-2.038,0.712,0.09,0.064,66.0,66.0,66.0,1668.0,1.04
Gen_nc[91],-0.04,0.797,-1.63,1.427,0.03,0.021,719.0,719.0,762.0,1432.0,1.02
Gen_nc[92],-0.609,0.768,-2.108,0.864,0.014,0.018,2931.0,954.0,2773.0,1955.0,1.12
Gen_nc[93],-0.731,0.852,-2.252,0.955,0.091,0.065,87.0,87.0,90.0,1957.0,1.04
Gen_nc[94],-0.85,0.658,-1.998,0.504,0.016,0.011,1699.0,1699.0,1680.0,1536.0,1.04
Gen_nc[95],-0.03,0.806,-1.705,1.361,0.027,0.019,891.0,891.0,881.0,1619.0,1.02
Gen_nc[96],-0.109,0.753,-1.537,1.297,0.021,0.026,1282.0,422.0,1231.0,2058.0,1.02
Gen_nc[97],0.344,0.787,-1.049,1.867,0.087,0.062,82.0,82.0,87.0,2123.0,1.03
Gen_nc[98],-0.367,0.593,-1.549,0.768,0.015,0.013,1603.0,1068.0,1559.0,677.0,1.06
Gen_nc[99],0.304,0.787,-1.158,1.776,0.085,0.061,85.0,85.0,100.0,2053.0,1.03
Gen_nc[100],0.016,0.784,-1.411,1.591,0.015,0.032,2862.0,301.0,2822.0,1882.0,1.11
Gen_nc[101],-0.108,0.93,-1.811,1.446,0.15,0.107,39.0,39.0,41.0,815.0,1.07
Gen_nc[102],-0.179,0.624,-1.364,0.928,0.053,0.038,138.0,138.0,165.0,1630.0,1.03
Gen_nc[103],0.266,0.704,-1.126,1.573,0.013,0.023,2993.0,472.0,2913.0,2147.0,1.07
Gen_nc[104],0.537,0.802,-0.859,2.09,0.022,0.035,1318.0,260.0,1394.0,2240.0,1.02
Gen_nc[105],-0.496,0.774,-1.998,0.962,0.019,0.04,1617.0,187.0,1756.0,2526.0,1.05
Gen_nc[106],0.266,0.945,-1.336,2.172,0.096,0.068,96.0,96.0,107.0,1522.0,1.03
Gen_nc[107],0.239,0.943,-1.45,1.792,0.209,0.15,20.0,20.0,24.0,214.0,1.1
Gen_nc[108],0.365,0.78,-1.141,1.894,0.015,0.034,2719.0,257.0,2644.0,2027.0,1.08
Gen_nc[109],0.034,0.839,-1.6,1.542,0.04,0.028,435.0,435.0,448.0,2478.0,1.02
Gen_nc[110],0.849,0.797,-0.831,2.226,0.022,0.016,1315.0,1315.0,1370.0,1598.0,1.04
Gen_nc[111],-0.525,0.893,-2.155,0.96,0.161,0.115,31.0,31.0,32.0,261.0,1.09
Gen_nc[112],0.708,0.783,-0.667,2.317,0.02,0.016,1467.0,1238.0,1389.0,832.0,1.03
Gen_nc[113],-0.046,0.966,-1.484,1.884,0.256,0.185,14.0,14.0,18.0,29.0,1.14
Gen_nc[114],-0.447,0.821,-1.835,1.204,0.094,0.067,76.0,76.0,79.0,2295.0,1.04
Gen_nc[115],-0.333,0.78,-1.828,1.105,0.028,0.02,762.0,762.0,713.0,2188.0,1.02
Gen_nc[116],0.304,0.813,-1.141,1.992,0.044,0.045,338.0,167.0,393.0,1083.0,1.02
Gen_nc[117],-0.545,0.812,-2.003,1.026,0.021,0.015,1463.0,1463.0,1491.0,2240.0,1.01
Gen_nc[118],1.008,0.738,-0.467,2.25,0.088,0.063,70.0,70.0,73.0,1402.0,1.04
Gen_nc[119],-1.676,0.835,-3.261,-0.055,0.026,0.018,1051.0,1051.0,1015.0,2264.0,1.05
benthopelagic,-0.224,0.399,-0.972,0.545,0.014,0.01,770.0,770.0,774.0,1137.0,1.11
demersal,-0.063,0.395,-0.781,0.703,0.014,0.011,756.0,643.0,758.0,1144.0,1.1
pelagic,0.849,0.629,-0.445,1.964,0.016,0.012,1574.0,1415.0,1513.0,2000.0,1.07
pelagic_neritic,-0.075,0.401,-0.817,0.682,0.015,0.013,729.0,484.0,732.0,1027.0,1.05
pelagic_oceanic,0.039,0.418,-0.805,0.815,0.015,0.012,817.0,656.0,823.0,1584.0,1.06
reef_associated,-0.71,0.417,-1.497,0.089,0.015,0.011,759.0,759.0,760.0,1139.0,1.08
polar_deep,-0.18,0.498,-1.113,0.789,0.018,0.013,791.0,787.0,806.0,1110.0,1.06
subtropical,-0.061,0.474,-0.888,0.848,0.035,0.025,184.0,184.0,203.0,1274.0,1.03
temperate,0.351,0.49,-0.493,1.312,0.032,0.023,235.0,233.0,313.0,645.0,1.02
tropical,-0.363,0.48,-1.201,0.594,0.03,0.021,263.0,263.0,384.0,1141.0,1.03
MaxDepth,0.092,0.056,-0.012,0.203,0.001,0.001,1477.0,986.0,1452.0,1529.0,1.04
TL,0.139,0.108,-0.062,0.351,0.003,0.002,1294.0,1208.0,1275.0,1592.0,1.06
benthic,-0.152,0.684,-1.156,1.181,0.134,0.096,26.0,26.0,27.0,618.0,1.1
pelagic,-0.199,0.684,-1.325,1.092,0.129,0.092,28.0,28.0,29.0,867.0,1.09
LMax,-0.134,0.099,-0.333,0.043,0.003,0.002,1220.0,1220.0,1195.0,1910.0,1.04
elongate,-0.225,0.287,-0.788,0.312,0.008,0.007,1417.0,876.0,1382.0,1566.0,1.11
flat,-0.098,0.393,-0.788,0.721,0.009,0.009,1743.0,1018.0,1753.0,1832.0,1.1
fusiform,0.191,0.275,-0.336,0.715,0.01,0.007,822.0,822.0,815.0,1860.0,1.03
short_deep,0.127,0.296,-0.441,0.659,0.024,0.017,154.0,154.0,161.0,1907.0,1.03
K,-0.265,0.258,-0.778,0.208,0.008,0.006,1132.0,905.0,1123.0,1220.0,1.09
tm,-0.143,0.141,-0.41,0.132,0.004,0.004,1106.0,543.0,1098.0,1223.0,1.09
muscle,-0.404,0.536,-1.414,0.633,0.016,0.019,1136.0,407.0,1142.0,1534.0,1.11
whole,0.166,0.528,-0.849,1.142,0.015,0.013,1198.0,865.0,1206.0,738.0,1.13
whole_parts,0.052,0.535,-0.949,1.106,0.016,0.024,1154.0,247.0,1133.0,1693.0,1.1
dry,0.811,0.534,-0.167,1.868,0.016,0.011,1094.0,1094.0,1095.0,1737.0,1.1
unknown,-0.596,0.548,-1.649,0.412,0.023,0.022,574.0,318.0,608.0,1734.0,1.02
wet,-0.363,0.533,-1.374,0.609,0.022,0.02,608.0,367.0,622.0,1587.0,1.01
Sigma_class,0.486,0.424,0.001,1.31,0.111,0.083,14.0,14.0,24.0,124.0,1.12
Actinopterygii,-0.077,0.848,-1.743,1.294,0.12,0.086,50.0,50.0,52.0,1471.0,1.06
Elasmobranchii,-0.11,0.94,-1.866,1.344,0.172,0.123,30.0,30.0,33.0,795.0,1.08
Sigma_order,0.551,0.179,0.22,0.904,0.007,0.005,642.0,642.0,626.0,610.0,1.1
Tetraodontiformes,-0.347,0.937,-2.145,1.18,0.151,0.107,39.0,39.0,38.0,1208.0,1.07
Clupeiformes,0.263,0.886,-1.335,1.754,0.161,0.115,30.0,30.0,32.0,1290.0,1.08
